number,name,position_lat,position_lng,available_bikes,available_bike_stands,rounded_last_update,temp,feels_like,humidity,rain_1h,weather_desc,weather_brief,wind_speed,weatherid
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
1,CLARENDON ROW,53.3409,-6.2625,0,31,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
2,BLESSINGTON STREET,53.3568,-6.26814,14,6,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
3,BOLTON STREET,53.3512,-6.26986,12,8,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
4,GREEK STREET,53.3469,-6.27298,9,11,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
4,GREEK STREET,53.3469,-6.27298,9,11,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
4,GREEK STREET,53.3469,-6.27298,9,11,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
4,GREEK STREET,53.3469,-6.27298,9,11,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
5,CHARLEMONT PLACE,53.3307,-6.26018,39,1,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
5,CHARLEMONT PLACE,53.3307,-6.26018,39,1,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
5,CHARLEMONT PLACE,53.3307,-6.26018,39,1,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
5,CHARLEMONT PLACE,53.3307,-6.26018,39,1,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
6,CHRISTCHURCH PLACE,53.3434,-6.27012,0,20,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
6,CHRISTCHURCH PLACE,53.3434,-6.27012,0,20,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
6,CHRISTCHURCH PLACE,53.3434,-6.27012,0,20,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
6,CHRISTCHURCH PLACE,53.3434,-6.27012,0,20,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
7,HIGH STREET,53.3436,-6.27507,19,10,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
7,HIGH STREET,53.3436,-6.27507,19,10,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
7,HIGH STREET,53.3436,-6.27507,19,10,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
7,HIGH STREET,53.3436,-6.27507,19,10,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
8,CUSTOM HOUSE QUAY,53.3479,-6.24805,24,6,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
8,CUSTOM HOUSE QUAY,53.3479,-6.24805,24,6,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
8,CUSTOM HOUSE QUAY,53.3479,-6.24805,24,6,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
8,CUSTOM HOUSE QUAY,53.3479,-6.24805,24,6,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
9,EXCHEQUER STREET,53.343,-6.26358,11,13,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
9,EXCHEQUER STREET,53.343,-6.26358,11,13,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
9,EXCHEQUER STREET,53.343,-6.26358,11,13,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
9,EXCHEQUER STREET,53.343,-6.26358,11,13,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
10,DAME STREET,53.344,-6.2668,15,1,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
10,DAME STREET,53.344,-6.2668,15,1,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
10,DAME STREET,53.344,-6.2668,15,1,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
10,DAME STREET,53.344,-6.2668,15,1,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
11,EARLSFORT TERRACE,53.3343,-6.2585,1,29,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
11,EARLSFORT TERRACE,53.3343,-6.2585,1,29,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
11,EARLSFORT TERRACE,53.3343,-6.2585,1,29,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
11,EARLSFORT TERRACE,53.3343,-6.2585,1,29,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
12,ECCLES STREET,53.3592,-6.26978,8,12,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
12,ECCLES STREET,53.3592,-6.26978,8,12,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
12,ECCLES STREET,53.3592,-6.26978,8,12,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
12,ECCLES STREET,53.3592,-6.26978,8,12,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
13,FITZWILLIAM SQUARE WEST,53.3361,-6.25282,1,29,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
13,FITZWILLIAM SQUARE WEST,53.3361,-6.25282,1,29,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
13,FITZWILLIAM SQUARE WEST,53.3361,-6.25282,1,29,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
13,FITZWILLIAM SQUARE WEST,53.3361,-6.25282,1,29,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
14,FOWNES STREET UPPER,53.3446,-6.26337,9,21,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
14,FOWNES STREET UPPER,53.3446,-6.26337,9,21,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
14,FOWNES STREET UPPER,53.3446,-6.26337,9,21,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
14,FOWNES STREET UPPER,53.3446,-6.26337,9,21,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
15,HARDWICKE STREET,53.3555,-6.26442,3,13,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
15,HARDWICKE STREET,53.3555,-6.26442,3,13,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
15,HARDWICKE STREET,53.3555,-6.26442,3,13,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
15,HARDWICKE STREET,53.3555,-6.26442,3,13,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
16,GEORGES QUAY,53.3475,-6.25219,5,15,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
16,GEORGES QUAY,53.3475,-6.25219,5,15,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
16,GEORGES QUAY,53.3475,-6.25219,5,15,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
16,GEORGES QUAY,53.3475,-6.25219,5,15,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
17,GOLDEN LANE,53.3408,-6.26773,1,19,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
17,GOLDEN LANE,53.3408,-6.26773,1,19,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
17,GOLDEN LANE,53.3408,-6.26773,1,19,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
17,GOLDEN LANE,53.3408,-6.26773,1,19,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
18,GRANTHAM STREET,53.3341,-6.26544,7,23,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
18,GRANTHAM STREET,53.3341,-6.26544,7,23,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
18,GRANTHAM STREET,53.3341,-6.26544,7,23,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
18,GRANTHAM STREET,53.3341,-6.26544,7,23,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
19,HERBERT PLACE,53.3344,-6.24557,0,30,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
19,HERBERT PLACE,53.3344,-6.24557,0,30,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
19,HERBERT PLACE,53.3344,-6.24557,0,30,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
19,HERBERT PLACE,53.3344,-6.24557,0,30,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
20,JAMES STREET EAST,53.3366,-6.24811,0,30,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
20,JAMES STREET EAST,53.3366,-6.24811,0,30,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
20,JAMES STREET EAST,53.3366,-6.24811,0,30,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
20,JAMES STREET EAST,53.3366,-6.24811,0,30,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
21,LEINSTER STREET SOUTH,53.3422,-6.25449,4,26,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
21,LEINSTER STREET SOUTH,53.3422,-6.25449,4,26,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
21,LEINSTER STREET SOUTH,53.3422,-6.25449,4,26,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
21,LEINSTER STREET SOUTH,53.3422,-6.25449,4,26,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
22,TOWNSEND STREET,53.3459,-6.25461,1,19,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
22,TOWNSEND STREET,53.3459,-6.25461,1,19,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
22,TOWNSEND STREET,53.3459,-6.25461,1,19,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
22,TOWNSEND STREET,53.3459,-6.25461,1,19,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
23,CUSTOM HOUSE,53.3483,-6.25466,24,6,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
23,CUSTOM HOUSE,53.3483,-6.25466,24,6,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
23,CUSTOM HOUSE,53.3483,-6.25466,24,6,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
23,CUSTOM HOUSE,53.3483,-6.25466,24,6,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
24,CATHAL BRUGHA STREET,53.3521,-6.26053,18,2,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
25,MERRION SQUARE EAST,53.3394,-6.24655,0,30,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
26,MERRION SQUARE WEST,53.3398,-6.25199,11,9,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
27,MOLESWORTH STREET,53.3413,-6.25812,1,18,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
28,MOUNTJOY SQUARE WEST,53.3563,-6.25859,16,14,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
29,ORMOND QUAY UPPER,53.3461,-6.268,6,23,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
29,ORMOND QUAY UPPER,53.3461,-6.268,6,23,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
29,ORMOND QUAY UPPER,53.3461,-6.268,6,23,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
29,ORMOND QUAY UPPER,53.3461,-6.268,6,23,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
30,PARNELL SQUARE NORTH,53.3537,-6.2653,7,13,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
30,PARNELL SQUARE NORTH,53.3537,-6.2653,7,13,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
30,PARNELL SQUARE NORTH,53.3537,-6.2653,7,13,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
30,PARNELL SQUARE NORTH,53.3537,-6.2653,7,13,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
31,PARNELL STREET,53.3509,-6.26512,9,11,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
31,PARNELL STREET,53.3509,-6.26512,9,11,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
31,PARNELL STREET,53.3509,-6.26512,9,11,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
31,PARNELL STREET,53.3509,-6.26512,9,11,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
32,PEARSE STREET,53.3443,-6.25043,24,6,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
32,PEARSE STREET,53.3443,-6.25043,24,6,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
32,PEARSE STREET,53.3443,-6.25043,24,6,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
32,PEARSE STREET,53.3443,-6.25043,24,6,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
33,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031,23,0,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
33,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031,23,0,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
33,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031,23,0,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
33,PRINCES STREET / O'CONNELL STREET,53.349,-6.26031,23,0,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
34,PORTOBELLO HARBOUR,53.3304,-6.26516,26,4,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
34,PORTOBELLO HARBOUR,53.3304,-6.26516,26,4,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
34,PORTOBELLO HARBOUR,53.3304,-6.26516,26,4,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
34,PORTOBELLO HARBOUR,53.3304,-6.26516,26,4,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
35,SMITHFIELD,53.3477,-6.27821,15,15,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
35,SMITHFIELD,53.3477,-6.27821,15,15,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
35,SMITHFIELD,53.3477,-6.27821,15,15,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
35,SMITHFIELD,53.3477,-6.27821,15,15,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
36,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603,0,40,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
36,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603,0,40,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
36,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603,0,40,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
36,ST. STEPHEN'S GREEN EAST,53.3378,-6.25603,0,40,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
37,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199,2,28,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
37,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199,2,28,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
37,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199,2,28,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
37,ST. STEPHEN'S GREEN SOUTH,53.3375,-6.26199,2,28,2024-03-26 21:00:00,280.59,277.27,90,0.0,scattered clouds,Clouds,5.66,802
38,TALBOT STREET,53.351,-6.25294,33,7,2024-03-26 21:00:00,280.65,277.35,90,0.0,scattered clouds,Clouds,5.66,802
38,TALBOT STREET,53.351,-6.25294,33,7,2024-03-26 21:00:00,280.7,277.41,90,0.0,scattered clouds,Clouds,5.66,802
38,TALBOT STREET,53.351,-6.25294,33,7,2024-03-26 21:00:00,280.46,277.11,90,0.0,scattered clouds,Clouds,5.66,802
